item_no,descr,item_vend_no,prc_1,lst_cost,categ_cod,subcat_cod,addl_descr_1,addl_descr_2,addl_descr_3,prof_alpha_1,prof_alpha_2,prof_alpha_3,nam,phone_1,ap_vend_no,vend_descr,vend_item_no,barcod,qty_on_hnd,lst_recv_dat,lst_sal_dat
23967,Hansel and Gretel,1208,16.95,9.492,BOOKS,CHILDREN,,,,,,,DAP/Perseus,800-343-4499,,Hansel and Gretel,9781935179627,,3,2/26/15,4/22/15
23971,"K Korfmann, Ensembles Assembl",2525,59.95,32.9725,BOOKS,PHOTO,,,,,,,RAM PUBLICATIONS USA,,,"K Korfmann, Ensembles Assembl",9789491677199,,3,2/25/15,
23999,Bronze Face Band Ring,285,325,150,JEWELRY,RINGS,,,,Sylvie Auvray,,,Sylvie  Auvary,,,Bronze Face Band Ring,,,3,2/24/15,
23946,Williams An Eloquent Modernist,503,60,33,BOOKS,ARCH,,,,,,,HOPKINS FULFILLMENT SERVICE,,,Williams An Eloquent Modernist,9780692216897,,3,2/20/15,
23968,Shine,8223,26.95,16.17,BOOKS,ART CRIT,,,,,,,DUKE UNIVERSITY PRESS,888-387-5687,,Shine,9780822358077,,3,2/20/15,
23969,Last Stop on Market,394,16.99,9.1746,BOOKS,CHILDREN,,,,,,,"RANDOM HOUSE, INC.",800-726-0600,,Last Stop on Market,9780399257742,,3,2/20/15,5/24/15
23849,Medium  Vessel KR,419,180,90,HOME,DECOR,kr,,,Kat and Roger,,,K & R Paint and Clay,(831)247-3393,,Medium  Vessel KR,,,3,2/19/15,6/10/15
23521,Elephant Coinbank Pink,392,12,4.746,KIDS MERCH,,,,,,,,OMM Design,,,Elephant Coinbank Pink,NE1P,,3,2/18/15,5/16/15
23523,Elephant Coinbank Turquoise Sm,392,12,4.746,KIDS MERCH,,,,,,,,OMM Design,,,Elephant Coinbank Turquoise,NE1T,,3,2/18/15,5/27/15
23890,Kate's Really Remarkable Wonde,8886,14,6.9708,BOOKS,CHILDREN,,,,,,,Corraini Edizioni,,,Kate's Really Remarkable Wonde,,,3,2/17/15,5/23/15
23891,60 Type Faces,8886,15,8.365,BOOKS,DESIGN,,,,,,,Corraini Edizioni,,,60 Type Faces,,,3,2/17/15,6/21/15
23892,Animalita,8886,22.81,12.5475,BOOKS,DESIGN,,,,,,,Corraini Edizioni,,,Animalita,,,3,2/17/15,
23894,Weaving Spaces,8886,64,34.854,BOOKS,FASHION,,,,,,,Corraini Edizioni,,,Weaving Spaces,,,3,2/17/15,
23895,Seeking Comfort in an Uncomfor,8886,6,3.4854,BOOKS,DESIGN,,,,Bruno Munari,,,Corraini Edizioni,,,Seeking Comfort in an Uncomfor,,,3,2/17/15,4/19/15
23985,Tadao Ando Houses,444,115,65.55,BOOKS,ARCH,,,,,,,BAKER & TAYLOR CO.,800-775-1700,,Tadao Ando Houses,9780847831593,,3,2/17/15,
23903,Dressing Up,166,45,24.3,BOOKS,FASHION,,,,,,,TriLiteral,8004051619,580623,Dressing Up,9780300179859,,3,2/5/15,
23510,Body Doodlers washable crayons,92054,8,4.5,KIDS MERCH,ART SUPPLY,,,,,,,INTERNATIONAL ARRIVALS,,,Body Doodlers washable crayons,133-32,,3,2/4/15,6/25/15
23860,Remote Control,312,16.95,11.0175,BOOKS,DESIGN,,,,,,,MPS,888-330-8477,136115,Remote Control,9781623563110,,3,1/29/15,
21817,apartamento keychain,275,15,7,HOME,MISC,,,,,,,Various Keytags,(212) 505-5599,,apartamento keychain,,,3,1/27/15,6/25/15
21830,gallery keychain,275,15,7,HOME,MISC,,,,,,,Various Keytags,(212) 505-5599,,gallery keychain,,,3,1/27/15,6/5/15
23815,Osmos Magazine Issue 5,1208,25,13.75,BOOKS,MAG,,,,,,,DAP/Perseus,800-343-4499,,Osmos Magazine Issue 5,9780991660803,,3,1/27/15,
23787,Clip sm green,272,5,2.25,HOME,DESKTOP,,,,,,,Sweet Bella,,,Clip sm orange,LP07205VE,,3,1/23/15,5/17/15
1008,PIU E MENO PLUS & MINUS,8886,56,25.6,BOOKS,CHILDREN,,,,"MUNARI,B",401,,Corraini Edizioni,,,PIU E MENO PLUS & MINUS,8033532910020,,3,1/20/15,4/16/15
14631,MUNARI'S Books,8886,56,30.72,BOOKS,DESIGN,,,,"MUNARI,B",202,,Corraini Edizioni,,,MUNARI I LIBRI,9788875701253,,3,1/20/15,10/22/14
14818,NUMBERS,8886,26,13.83,BOOKS,CHILDREN,,,,"VERONESI,L",400,,Corraini Edizioni,,,NUMBERS,9788886250474,,3,1/20/15,5/22/15
22319,Goodnight Everyone,8886,0,11.91,BOOKS,CHILDREN,,,,"MUNARI,B",,,Corraini Edizioni,,,Goodnight Everyone,9788886250504,,3,1/20/15,5/17/15
23043,Cane Sm Pin,272,34,14,JEWELRY,PINS,,,,,,,Sweet Bella,,,Cane Sm Pin,MLBBO1B-CN,,3,1/16/15,
21766,Snowball,272,30,14,HOME,DECOR,,,,,,,Sweet Bella,,,Snowball,EDSS,,3,1/13/15,6/14/15
23286,Model Bakery Cookbook,218,35,19.95,BOOKS,FOOD,,,,,,,"HACHETTE BOOK GROUP, USA",800-759-0190,,Model Bakery Cookbook,9781452113838,,3,1/9/15,6/12/15
23759,Diary Landscape James Welling,226,45,24.3,BOOKS,PHOTO,,,,,,,UNIV OF CHICAGO PRESS,,55050,Diary Landscape James Welling,9780226204123,,3,1/9/15,1/21/15
23800,Joyce Pensato: I Killed Kenny,1208,39.95,19.975,BOOKS,CONTEMP,,,,,,,DAP/Perseus,800-343-4499,,Joyce Pensato: I Killed Kenny,9780983967224,,3,1/9/15,
23730,London Puzzle Fredun Shapur,412,26,10.83,KIDS MERCH,,,,,,,,Piqpoq,,,London Puzzle Fredun Shapur,,,3,12/16/14,6/23/15
23481,Sam and Dave Dig a Hole,394,16.99,9.17,BOOKS,CHILDREN,,,,,,,"RANDOM HOUSE, INC.",800-726-0600,,Sam and Dave Dig a Hole,978076366295,,3,12/9/14,1/2/15
23742,The Race,444,17.95,10.23,BOOKS,CHILDREN,,,,,,,BAKER & TAYLOR CO.,800-775-1700,,The Race,9781771470551,,3,12/9/14,5/1/15
23719,Color Book,444,21.96,12.51,BOOKS,CHILDREN,,,,,,,BAKER & TAYLOR CO.,800-775-1700,,Color Book,97893/83145010,,3,12/5/14,5/8/15
23720,Counting on Letters from A to,394,10.95,6.24,BOOKS,CHILDREN,,,,,,,"RANDOM HOUSE, INC.",800-726-0600,,Counting on Letters from A to,978157687709,,3,12/5/14,6/10/15
23722,Flora and the Penguin,8118,16.99,9.17,BOOKS,CHILDREN,,,,molly idle,,,CHRONICLE BOOKS,,,Flora and the Penguin,9781452128917,,3,12/5/14,12/10/14
23346,Lawrence Weiner block set,106,42,20.582,HOME,DECOR,,,,,,,Third Drawer Down,,,Lawrence Weiner block set,TTM-LWBLOCKS,,3,11/21/14,5/3/15
23700,Rembrandt,166,60,32.4,BOOKS,AHM COLL,,,,,,,TriLiteral,8004051619,580623,Rembrandt,9781857095579,,3,11/21/14,
23653,Ever Yours,166,50,25,BOOKS,AHM COLL,,,,,,,TriLiteral,8004051619,580623,Ever Yours,9780300209471,,3,11/13/14,11/16/14
23448,Notecard Montana,386,6,3,STATIONERY,NOTECARD,,,,,,,Polite Paper Society,,,Notecard Montana,NC110,,3,11/12/14,2/12/15
23524,Crochet bunting,396,49.95,25,KIDS MERCH,,,,,,,,Pebble,330 612 5850,,Crochet bunting,400-004,,3,11/4/14,
23591,Mr. Tweed's Good Deed,1208,19.95,11.173,BOOKS,CHILDREN,,,,,,,DAP/Perseus,800-343-4499,,Mr. Tweed's Good Deed,9781909263352,,3,10/30/14,5/6/15
23323,ikazaki sm pink notebook,377,9,3.306,STATIONERY,JOURNALS,,,,,,,Ikazaki Shachu,,,ikazaki sm pink notebook,WP-S PINK,,3,10/23/14,6/20/15
23561,Bownik: Disassembly,667,50,30,BOOKS,DESIGN,,,,,,,IDEA BOOKS C/O GALGIANI,,,Bownik: Disassembly,9788364353048,,3,10/23/14,4/16/15
23546,Paul Strand,166,75,40.5,BOOKS,PHOTO,,,,,,,TriLiteral,8004051619,580623,Paul Strand,9780262027533,,3,10/21/14,
23547,Dance and Fashion,166,50,27,BOOKS,FASHION,,,,,,,TriLiteral,8004051619,580623,Dance and Fashion,9780300207927,,3,10/21/14,
23548,Edward Ruscha works on paper,166,200,100,BOOKS,CONTEMP,,,,,,,TriLiteral,8004051619,580623,Edward Ruscha works on paper,9780300209495,,3,10/21/14,
23417,Marsden Hartley: The German Pa,1208,48,24,BOOKS,MODERN,,,,,,,DAP/Perseus,800-343-4499,,Marsden Hartley: The German Pa,9781938922664,,3,10/16/14,
23470,Gerhard Ritcher books,1208,24.95,13.7225,BOOKS,DESIGN,,,,,,,DAP/Perseus,800-343-4499,,Gerhard Ritcher books,9781941366011,,3,10/16/14,
22990,Blue  Argyle Sock SM,314,22,8.3412,APPAREL,MERCHAND,,,,,,,Bonne Maison,,,Blue  Argyle Sock SM,BL1 01 39/41,,3,10/14/14,6/27/15
23432,Development Heather Guertin,347,25,15,BOOKS,CONTEMP,,,,,,,Hassla Books,,,Development Heather Guertin,978-1-940881-04-1,,3,10/14/14,
23421,House of Coates,1208,20,11.2,BOOKS,PHOTO,,,,,,,DAP/Perseus,800-343-4499,,House of Coates,9781566793701,,3,10/10/14,6/9/15
23450,Ceramic Heads William J. O'Bri,130,14,7,BOOKS,CONTEMP,,,,,,,Wood Kusaka Studio,310.425.8455,,Ceramic Heads William J. O'Bri,,,3,10/9/14,1/2/15
23459,Inspiration of Book,9075339,59.95,34.77,BOOKS,DESIGN,,,,,,,GINGKO PRESS,,,Inspiration of Book,9789881261625,,3,10/9/14,
23465,Goya: Order & Disorder,1208,65,33.15,BOOKS,IMPRESS,,,,,,,DAP/Perseus,800-343-4499,,Goya: Order & Disorder,9780878468089,,3,10/9/14,11/16/14
23424,Cubism,166,65,35.1,BOOKS,MODERN,,,,,,,TriLiteral,8004051619,580623,Cubism,9780300208078,,3,10/7/14,
23425,"Kem Weber, Design & Architectu",166,65,39,BOOKS,DESIGN,,,,,,,TriLiteral,8004051619,580623,"Kem Weber, Design & Architectu",9780300206272,,3,10/7/14,3/18/15
23391,Tata Dada,166,34.95,18.873,BOOKS,MODERN,,,,,,,TriLiteral,8004051619,580623,Tata Dada,9780262027540,,3,9/26/14,
23356,In Search of a Lost Avant Gard,226,22.5,13.5,BOOKS,ART CRIT,,,,,,,UNIV OF CHICAGO PRESS,,55050,In Search of a Lost Avant Gard,9780226173818,,3,9/25/14,
23359,Wrapping with Fabric:Furoshiki,379,15.95,7.975,BOOKS,BOOKS,,,,,,,Tuttle Publishing,800 748 5895,,Wrapping with Fabric:Furoshiki,9784805313145,,3,9/25/14,11/13/14
23385,Rich and Poor Jim Goldberg,86930,100,53,BOOKS,PHOTO,,,,,,,"INNOVATIVE LOGISTICS,LLC UND",866-289-2088,500007216,Rich and Poor Jim Goldberg,9783869306889,,3,9/25/14,
7924,James Ensor,1208,60,33,BOOKS,MODERN,Hatje Cantz,core,,,,,DAP/Perseus,800-343-4499,,JAMES ENSOR,9783775737227,,3,9/4/14,8/16/14
23039,Riley Roadster Blued,353,20,10,KIDS MERCH,,tegu,,,tegu,,,Tegu,,,Riley Roadster Blued,M-12-055,,3,9/3/14,2/4/15
21445,Mushroom Knife,255,110,60.5,HOME,KITCHEN,,Sweden,,,,,Kiosk,212.226.8601,,Mushroom Knife,,,3,7/31/14,1/25/15
21479,Stapler Black,255,52,28.6,HOME,DESKTOP,,,,,,,Kiosk,212.226.8601,,Stapler Black,,,3,7/31/14,2/6/15
22134,Gustave Moreau,166,75,45,BOOKS,,,,,,,,TriLiteral,8004051619,580623,Gustave Moreau,9780300204339,,3,7/25/14,7/29/14
22296,Scarf Luck Yellow Pinkl,297,180,63.79,ACCESSORY,SCARVES,,,,,,,Mapoesie,,,Scarf Luck Yellow Pinkl,F-LUCK/300,,3,7/25/14,5/3/15
23021,131 Variation : Fluer Van,667,46.52,27.91,BOOKS,DESIGN,,,,,,,IDEA BOOKS C/O GALGIANI,,,131 Variation : Fluer Van,9789490119249,,3,7/25/14,
23027,Diaries 1970-1975,2525,35,19.25,BOOKS,ART CRIT,,,,,,,RAM PUBLICATIONS USA,,,Diaries 1970-1975,9783956790515,,3,7/25/14,
22372,Parkett No. 94,1208,45,24.75,BOOKS,MAG,,,,,,,DAP/Perseus,800-343-4499,,Parkett No. 93,9783907582541,,3,7/22/14,6/10/15
22800,"Nancy Rubins Drawing, Sculptur",37913,49.95,27.4725,BOOKS,CONTEMP,,,,,,,PRESTEL,(888) 463-6110,,"Nancy Rubins Drawing, Sculptur",978379135365,,3,7/22/14,8/8/14
22928,Surface : Matters of Aesthetic,226,45,27,BOOKS,ART CRIT,,,,,,,UNIV OF CHICAGO PRESS,,55050,Surface : Matters of Aesthetic,9780226104942,,3,7/9/14,
22893,"At Work, Studio & Production",2525,65,35.75,BOOKS,CONTEMP,,,,,,,RAM PUBLICATIONS USA,,,"At Work, Studio & Production",9783864420702,,3,7/1/14,
22880,Raining Cats and Dogs,8018,14.95,8.22,BOOKS,CHILDREN,,,,,,,JOHNS HOPKINS UNIV PRESS,,,Raining Cats and Dogs,9780642334411,,3,6/19/14,10/21/14
21811,Pearl Drop Earrings pink MD,274,186,88,JEWELRY,EARRINGS,,Rowena Sartin,,,,,IKO IKO,,,Pearl Drop Earrings pink,,,3,6/18/14,6/10/15
22855,Il Design Italiano Oltre  Le C,8886,68,42,BOOKS,DESIGN,,,,,,,Corraini Edizioni,,,Il Design Italiano Oltre  Le C,TR11,,3,6/18/14,
22089,Shoe Charms Eyes,289,112,36.77,JEWELRY,PINS,,,,Yaz Bukey,,,Yaz Bukey,,,Brooch Eye,YPF14-20,,3,6/5/14,4/14/15
18746,Some Aesthetic Decisions,226,50,27.5,BOOKS,,,core HCC,,Judy Fiskin,,,UNIV OF CHICAGO PRESS,,55050,Some Aesthetic Decisions,9781606060810,,3,5/30/14,4/28/15
22682,Thirteen Ways Of Looking,8223,22.95,13.77,BOOKS,ART CRIT,,,,,,,DUKE UNIVERSITY PRESS,888-387-5687,,Thirteen Ways Of Looking,9780822356349,,3,5/9/14,
22646,Lecia Dole-Recio,1208,24.95,13.7225,BOOKS,CONTEMP,,MILA,,,,,DAP/Perseus,800-343-4499,,Lecia Dole-Recio,9780914357988,,3,5/7/14,
22582,Outside The Box,226,26,14.04,BOOKS,ART CRIT,,,,,,,UNIV OF CHICAGO PRESS,,55050,Outside The Box,9780226099446,,3,4/9/14,
13781,LIZ CRAFT,1208,29,15.95,BOOKS,MODERN,,core hcc,,"MUNDER,H",107,,DAP/Perseus,800-343-4499,,LIZ CRAFT,9783905770100,,3,4/2/14,5/12/15
22304,Show Time,1208,45,24.75,BOOKS,CONTEMP,,,,,,,DAP/Perseus,800-343-4499,,Show Time,9781938922336,,3,4/2/14,
22453,Homoerotics of Orientalism,193,50,30,BOOKS,ART CRIT,,,,Joseph Allen Boone,,,PERSEUS DISTRIBUTION,Perseus 800-343-4499,,Homoerotics of Orientalism,100231151101,,3,3/27/14,
22465,Ana Mendieta,679,60,32.4,BOOKS,CONTEMP,,,,,,,RANDOM HOUSE,,,Ana Mendieta,9788857219103,,3,3/25/14,
18781,Know Your Onions Graphic Desig,193,20,11.2,BOOKS,DESIGN,CBSD,,,,,,PERSEUS DISTRIBUTION,Perseus 800-343-4499,,Know Your Onions Grappic Desig,9789063692582,,3,3/21/14,12/27/14
22326,Facing the Sublime in Water CA,2525,20,11,BOOKS,CONTEMP,,,,,,,RAM PUBLICATIONS USA,,,Facing the Sublime in Water CA,9781893900080,,3,3/17/14,
22330,Re-View Onnasch Collection,2525,75,41.25,BOOKS,CONTEMP,,,,,,,RAM PUBLICATIONS USA,,,Re-View Onnasch Collection,9783864420757,,3,3/17/14,
21278,Pleading in the Blood,226,35,21.3,BOOKS,CONTEMP,,,,Ron Athey,,,UNIV OF CHICAGO PRESS,,55050,Pleading in the Blood,9781783200351,,3,3/11/14,6/1/14
22172,A is for Art,671,17.99,8.995,BOOKS,CHILDREN,,,,,,,SIMON & SCHUSTER,,,A is for Art,9780689863011,,3,3/5/14,11/23/14
22274,Coyote Run,193,14.95,8.372,BOOKS,CHILDREN,,,,,,,PERSEUS DISTRIBUTION,Perseus 800-343-4499,,Coyote Run,9781592701476,,3,3/5/14,12/7/14
22155,Self Help Graphics & Art,503,19.95,10.9725,BOOKS,DESIGN,,,,,,,HOPKINS FULFILLMENT SERVICE,,,Self Help Graphics & Art,9780895511546,,3,2/26/14,5/17/14
22226,Latifa Echakhch,1208,55,33,BOOKS,CONTEMP,,,,,,,DAP/Perseus,800-343-4499,,Latifa Echakhch,9783037642009,,3,2/26/14,
21976,Fennel Large Pin,272,64,29,JEWELRY,PINS,,,,,,,Sweet Bella,,,Fennel Large Pin,MLBB01-F,,3,2/24/14,8/17/14
21993,Dara Birnbaum Technology Trans,262,16,8.64,BOOKS,ART CRIT,,,,,,,"MIT PRESS, ORDER DEPT.",,,Dara Birnbaum Technology Trans,9781846380679,,3,2/19/14,4/22/14
22190,Inventory Mag Issue 9,298,20,13.31,BOOKS,MAG,,,,,,,Inventory Media,,,Inventory Mag Issue 9,,,3,2/18/14,2/22/15
21999,Mary Blinky Yay,2525,39.95,21.9725,BOOKS,CONTEMP,,core greg,,,,,RAM PUBLICATIONS USA,,,Mary Blinky Yay,,,3,2/14/14,
22104,What Colour is Your World?,218,14.95,7.9235,BOOKS,CHILDREN,,,,,,,"HACHETTE BOOK GROUP, USA",800-759-0190,,What Colour is Your World?,9780714848501,,3,2/13/14,5/5/15
22007,Fatland,280,15,9,BOOKS,CONTEMP,,book fair,,Nic Herman,,,Nic Herman,,,Fatland,,,3,2/10/14,2/2/14
22068,Jenny Holzer,218,45,27,BOOKS,CONTEMP,,,,,,,"HACHETTE BOOK GROUP, USA",800-759-0190,,Jenny Holzer,9780714837543,,3,2/10/14,8/20/14
21891,Decoys & Disruptions Writing,262,25.95,14.0125,BOOKS,ART CRIT,,,,Martha Rosler,,,"MIT PRESS, ORDER DEPT.",,,Decoys & Disruptions Writing,9780262681582,,3,1/30/14,5/17/14
21910,General Idea,262,16,8.64,BOOKS,ART CRIT,,,,Gregg Bordowitz,,,"MIT PRESS, ORDER DEPT.",,,General Idea,97818463806516,,3,1/30/14,2/20/15
21856,pharmacy keychain,275,15,7,HOME,MISC,,,,,,,Various Keytags,(212) 505-5599,,pharmacy keychain,,,3,1/27/14,1/3/15
21880,Basic Pink Watch,276,185,74,JEWELRY,WATCHES,,,,,,,Void Watches Ltd,,,brushed round basic pink,V03B-BR/PK/PK,,3,1/27/14,2/8/14
21172,Sex & Buildings,226,40,24,BOOKS,ARCH,,,,,,,UNIV OF CHICAGO PRESS,,55050,Sex & Buildings,9781780231044,,3,1/7/14,
21737,Daumier: The Heroism of,218,55,30.25,BOOKS,IMPRESS,Abrams?,core AHMC,,,,,"HACHETTE BOOK GROUP, USA",800-759-0190,,Daumier,9781907533327,,3,1/7/14,12/23/14
21746,Pretty Village: School House,55709,9.95,4.78,BOOKS,CHILDREN,,,,,,,APPLEWOOD BOOKS,,,Pretty Village: School House,9781429093392,,3,1/3/14,2/19/14
24768,Gustave Caillebotte,226,60,32.4,BOOKS,IMPRESS,,,,,,,UNIV OF CHICAGO PRESS,,55050,Gustave Caillebotte,9780226263557,,2,6/30/15,
21257,Poemotion 2,37913,25,14.25,BOOKS,,,,,,,,PRESTEL,(888) 463-6110,,Poemotion 2,,,2,6/29/15,6/4/15
24067,Wabi Sabi Further Thoughts,193,16,9.12,BOOKS,ART CRIT,,,,,,,PERSEUS DISTRIBUTION,Perseus 800-343-4499,,Wabi Sabi Further Thoughts,9780981484655,,2,6/29/15,6/24/15
24567,Heart Bangle,279,90,45,JEWELRY,BRACELETS,,sterling silver heart shape bangle,,,,,Sonia Boyajian Jewelry,,,Heart Bangle,,,2,6/24/15,
24569,Sunshine Bangle silver,279,200,100,JEWELRY,BRACELETS,,,,,,,Sonia Boyajian Jewelry,,,Sunshine Bangle silver,,,2,6/24/15,
24573,Pyramid Ring Large,279,400,200,JEWELRY,RINGS,,,,,,,Sonia Boyajian Jewelry,,,Pyramid Ring Large,,,2,6/24/15,
24574,Pyramid Ring Small,279,360,180,JEWELRY,RINGS,,,,,,,Sonia Boyajian Jewelry,,,Pyramid Ring Small,,,2,6/24/15,
24576,Playtime Earrings,279,110,55,JEWELRY,EARRINGS,,,,,,,Sonia Boyajian Jewelry,,,Playtime Earrings,,,2,6/24/15,6/6/15
24675,Lies and Other Tall Tales,444,6.99,3.98,BOOKS,ESO WON,,,,,,,BAKER & TAYLOR CO.,800-775-1700,,Lies and Other Tall Tales,9780060006570,,2,6/24/15,6/28/15
24703,What Color Is My World The Los,444,17.99,10.25,BOOKS,ESO WON,,,,,,,BAKER & TAYLOR CO.,800-775-1700,,What Color Is My World The Los,9780763645649,,2,6/24/15,6/23/15
24737,Abitare June 2015,90301,17,12.41,BOOKS,MAG,,,,,,,"SPEEDIMPEX USA, INC.",,,Abitare June 2015,,,2,6/23/15,
24738,Wallpaper June 2015,90301,10,7,BOOKS,MAG,,,,,,,"SPEEDIMPEX USA, INC.",,,Wallpaper June 2015,,,2,6/23/15,6/28/15
23125,Tala Madani: Rear Projection,667,37.5,22.5,BOOKS,CONTEMP,,,,,,,IDEA BOOKS C/O GALGIANI,,,Tala Madani: Rear Projection,9781907421075,,2,6/18/15,9/7/14
23945,Landscape Architecture of Rich,503,59.95,32.9725,BOOKS,ARCH,,,,,,,HOPKINS FULFILLMENT SERVICE,,,Landscape Architecture of Rich,9780295994482,,2,6/18/15,
24319,How to Write About Contemporar,393,24.95,13.7225,BOOKS,ART CRIT,,,,,,,W.W. NORTON & CO. INC.,(800) 233-4830,,How to Write About Contemporar,9780500291573,,2,6/18/15,6/28/15
24487,Necklace Bone,450,63,31.5,JEWELRY,NECKLACES,,,,Fiona Higgins,,,Fiona Higgins,,,Necklace Bone,BONE,,2,6/18/15,
24489,Necklace Oyyo,450,42,21,JEWELRY,NECKLACES,,,,Fiona Higgins,,,Fiona Higgins,,,Necklace Oyyo,OYYO,,2,6/18/15,6/20/15
24730,Photography or Life/ Popular M,226,34,18.36,BOOKS,ART CRIT,,,,,,,UNIV OF CHICAGO PRESS,,55050,Photography or Life/ Popular M,9788493923143,,2,6/18/15,
24731,Colorful Apocalypse,226,15,9,BOOKS,ART CRIT,,,,,,,UNIV OF CHICAGO PRESS,,55050,Colorful Apocalypse,9780226066875,,2,6/18/15,
24517,Bell Posh,255,32,17.6,HOME,,,,,,,,Kiosk,212.226.8601,,Bell Posh,,,2,6/17/15,6/24/15
24602,Martha Rosler Service,10011,10,6,BOOKS,CONTEMP,,,,,,,PRINTED MATTER,,,Martha Rosler Service,82931,,2,6/17/15,6/24/15
24603,Destroy All Monsters,10011,18,10.8,BOOKS,CONTEMP,,,,,,,PRINTED MATTER,,,Destroy All Monsters,8519,,2,6/17/15,6/27/15
23380,Memorial A Version of Iliad,393,15.95,8.7725,BOOKS,EVENTS,,Homer,,Alice Oswald,,,W.W. NORTON & CO. INC.,(800) 233-4830,,Memorial A Version of Iliad,9780393347272,,2,6/13/15,6/27/15
24476,X-Tra Vol. 16 #4,147,10,0,BOOKS,MAG,,,,,,,X-tra,323 982-0279,,X-Tra Vol. 16 #4,,,2,6/13/15,6/28/15
21286,David Hockney a Bigger Exhibit,37913,65,35.75,BOOKS,CONTEMP,,core hcc,,,,,PRESTEL,(888) 463-6110,,David Hockney a Bigger Exhibit,9783791353340,,2,6/12/15,5/9/15
22736,Half Moon Necklace,332,370,185,JEWELRY,NECKLACES,,,,,,,Hannah Keefe,,,Half Moon Necklace,HK509,,2,6/12/15,3/5/15
22739,Long Triangle Earrings Brass,332,190,95,JEWELRY,NECKLACES,,,,,,,Hannah Keefe,,,Long Triangle Earrings Brass,HK515,,2,6/12/15,3/28/15
23109,Eclipse Pendant Warm Brass,332,200,95,JEWELRY,NECKLACES,,Hannah K,,,,,Hannah Keefe,,,Eclipse Pendant Warm Brass,HK503 WB,,2,6/12/15,5/29/15
23112,Triangle Link  Earrings Brass,332,200,95,JEWELRY,EARRINGS,,Hannah K,,,,,Hannah Keefe,,,Triangle Link  Earrings Brass,HK516 WB,,2,6/12/15,3/28/15
23902,"The Little Review ""Ulysses""",166,0,16.8,BOOKS,ART CRIT,,,,,,,TriLiteral,8004051619,580623,"The Little Review ""Ulysses""",9780300181777,,2,6/12/15,
24398,Print is Dead Long Live Print,37913,49.95,27.47,BOOKS,DESIGN,,,,,,,PRESTEL,(888) 463-6110,,Print is Dead Long Live Print,9783791349541,,2,6/12/15,
24406,Noah Purifoy Junk Dada,37913,39.95,21.97,BOOKS,CONTEMP,,,,,,,PRESTEL,(888) 463-6110,,Noah Purifoy Junk Dada,9783791354347,,2,6/12/15,6/11/15
24413,James Welling Mind of Fire,37913,49.95,27.47,BOOKS,PHOTO,,core hcc,,,,,PRESTEL,(888) 463-6110,,James Welling Mind of Fitre,9783791353135,,2,6/12/15,
24417,Puss in Boots,37913,16.95,9.32,BOOKS,CHILDREN,gestalten,,,,,,PRESTEL,(888) 463-6110,,Puss in Boots,9783899557275,,2,6/12/15,6/26/15
24418,Issun Boshi,37913,19.99,10.97,BOOKS,CHILDREN,gestalten,,,,,,PRESTEL,(888) 463-6110,,Issun Boshi,9783899557183,,2,6/12/15,5/30/15
24590,Wiel Arets,1208,85,46.75,BOOKS,CONTEMP,,,,,,,DAP/Perseus,800-343-4499,,Wiel Arets,9783775735056,,2,6/12/15,
24591,Paul Gauguin,1208,95,52.25,BOOKS,AHM COLL,,,,,,,DAP/Perseus,800-343-4499,,Paul Gauguin,9783775739597,,2,6/12/15,
24637,Harvest Pendant,332,270,135,JEWELRY,NECKLACES,,,,,,,Hannah Keefe,,,Harvest Pendant,HK701,,2,6/12/15,
24254,Fear of Language,2525,20,11,BOOKS,POETRY,,,,,,,RAM PUBLICATIONS USA,,,Fear of Language,9783956790751,,2,6/11/15,5/10/15
24394,Butts of Florence,442,15,9,BOOKS,CONTEMP,,,,,,,Erik Benjamins,,,Butts of Florence,,,2,6/11/15,6/27/15
19124,Seeing Things Heilmann,2525,35,19.25,BOOKS,CONTEMP,,core greg,,Mary Heilmann,,,RAM PUBLICATIONS USA,,,Seeing Things Heilmann,9783864420030,,2,6/10/15,12/5/13
19823,GILLIAN WEARING,2525,49.95,27.4725,BOOKS,CONTEMP,,perfect likeness,,"WEARING,G",107,,RAM PUBLICATIONS USA,,,GILLIAN WEARING,9781905464524,,2,6/10/15,6/28/15
20274,Kara Walker Dust Jackets for,1208,45,24.75,BOOKS,CONTEMP,,,,Hilton Als,,,DAP/Perseus,800-343-4499,,Kara Walker Dust Jackets for,9780982681367,,2,6/10/15,
20308,Sol LeWitt The Well-Tempered G,1208,35,19.25,BOOKS,CONTEMP,,core greg,,Charles W. Haxthausen,,,DAP/Perseus,800-343-4499,,Sol LeWitt The Well-Tempered G,9780913697313,,2,6/10/15,6/28/15
21812,Pearl Drop Earrings White MD,274,186,88,JEWELRY,EARRINGS,,Rowena Sartin,,,,,IKO IKO,,,Pearl Drop Earrings White,,,2,6/10/15,5/12/15
21814,Pearl Hooped Earrings Pink,274,164,78,JEWELRY,EARRINGS,,Rowena Sartin,,,,,IKO IKO,,,Pearl Hooped Earrings Pink,,,2,6/10/15,6/25/15
22357,Lygia Clark: The Abandonment,1208,75,41.25,BOOKS,MODERN,MOMA,core,,Cornelia Butler,,,DAP/Perseus,800-343-4499,,Lygia Clark: The Abandonment,9780870708909,,2,6/10/15,6/12/15
